"workerId";"60-ideaSubmitTimers";"60-inspirationRequestTimers";"120-ideaSubmitTimers";"120-inspirationRequestTimers";"180-ideaSubmitTimers";"180-inspirationRequestTimers";"240-ideaSubmitTimers";"240-inspirationRequestTimers";"300-ideaSubmitTimers";"300-inspirationRequestTimers";"360-ideaSubmitTimers";"360-inspirationRequestTimers";"420-ideaSubmitTimers";"420-inspirationRequestTimers";"480-ideaSubmitTimers";"480-inspirationRequestTimers";"540-ideaSubmitTimers";"540-inspirationRequestTimers";"600-ideaSubmitTimers";"600-inspirationRequestTimers";"660-ideaSubmitTimers";"660-inspirationRequestTimers";"720-ideaSubmitTimers";"720-inspirationRequestTimers";"780-ideaSubmitTimers";"780-inspirationRequestTimers";"840-ideaSubmitTimers";"840-inspirationRequestTimers";"900-ideaSubmitTimers";"900-inspirationRequestTimers";"960-ideaSubmitTimers";"960-inspirationRequestTimers";"1020-ideaSubmitTimers";"1020-inspirationRequestTimers";"1080-ideaSubmitTimers";"1080-inspirationRequestTimers";"1140-ideaSubmitTimers";"1140-inspirationRequestTimers";"1200-ideaSubmitTimers";"1200-inspirationRequestTimers";"1260-ideaSubmitTimers";"1260-inspirationRequestTimers";"1320-ideaSubmitTimers";"1320-inspirationRequestTimers";"1380-ideaSubmitTimers";"1380-inspirationRequestTimers";"1440-ideaSubmitTimers";"1440-inspirationRequestTimers";"1500-ideaSubmitTimers";"1500-inspirationRequestTimers"
"mturk:worker/A16TP8YGKE1FJ5";0;0;0;0;0;0;1;0;1;0;1;0;1;0;2;0;2;1;2;1;2;1;2;1;3;1;3;1;4;1;4;6;4;11;4;11;4;11;4;11;4;11;4;11;5;11;6;20;6;29
"mturk:worker/A2ZNOMZ35LKY8Q";0;1;0;1;0;1;1;1;1;1;1;1;2;2;2;2;2;2;3;2;3;2;3;2;4;2;4;3;4;3;5;4;5;4;5;4;5;4;6;4;6;4;6;5;6;5;6;5;7;5
"mturk:worker/A1EITLFAMKA61U";0;0;0;1;0;1;0;1;1;1;1;1;1;1;1;1;1;2;1;2;1;2;1;2;1;2;1;2;1;2;1;2;2;2;2;2;2;3;2;3;2;3;2;3;3;3;3;3;3;3
"mturk:worker/A149ROBL26JWPJ";0;1;0;1;1;1;1;1;2;1;2;2;2;2;3;2;3;2;4;3;4;3;5;4;5;7;5;8;5;8;6;9;6;9;7;10;7;10;7;10;7;10;8;12;8;12;9;12;9;12
"mturk:worker/A2G7N0X0PNX0EE";0;0;0;0;1;0;1;0;1;0;2;0;2;0;3;0;3;0;3;0;4;0;4;0;4;0;5;1;5;1;5;1;6;1;6;2;6;2;7;4;7;4;7;4;8;5;8;5;9;8
"mturk:worker/A15RSC70TW7ZKW";0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;2;2;2;2;2;2;3;3;3;3;3;3;4;4;4;4;4;4;5;4;5;4;5;4;5;4;5;4
"mturk:worker/A2W3A42TRMJ861";0;1;0;1;0;1;0;1;0;1;1;2;1;2;1;2;1;2;2;2;2;3;2;3;3;4;3;4;3;4;4;5;4;5;4;5;5;5;5;5;5;5;5;5;6;6;6;6;6;6
"mturk:worker/A3F0ECWT21FVMG";0;0;0;0;0;0;1;0;1;0;1;0;2;0;2;0;3;0;4;1;4;1;4;1;4;1;5;1;6;1;6;1;7;1;8;2;8;2;8;2;9;2;9;2;10;2;10;2;11;2
"mturk:worker/A1ZT30BGR3266K";0;1;0;1;0;1;0;1;0;1;1;1;1;1;1;1;1;1;1;1;2;1;2;1;2;1;2;1;2;1;2;1;3;1;3;1;3;1;3;1;4;1;4;1;4;1;4;1;4;1
"mturk:worker/A3KCZB9IL6CVH";0;0;0;1;0;1;0;1;0;1;1;1;1;1;1;1;2;1;2;1;2;1;2;1;2;1;2;1;2;1;2;1;3;1;3;1;3;1;3;1;3;1;3;1;3;1;3;1;3;1
"mturk:worker/A2541C8MY0BYV3";0;1;1;1;1;1;2;1;2;1;3;1;4;1;5;1;6;1;6;1;6;1;6;1;6;1;6;1;6;1;6;1;6;1;6;1;6;1;6;1;6;1;6;1;6;1;6;1;6;1
"mturk:worker/A3O5EU9QQV2OS1";0;0;0;0;1;0;2;1;2;1;3;1;3;1;3;1;3;1;3;1;3;1;3;1;3;1;3;1;3;1;3;1;3;1;3;1;3;1;3;1;3;1;3;1;3;1;3;1;3;1
"mturk:worker/A3GPTSDDHJ2DBV";0;0;1;0;2;0;2;0;2;0;2;0;2;0;4;1;4;1;5;1;6;1;7;1;8;1;9;1;9;1;9;1;10;1;10;1;11;1;11;1;11;1;11;2;12;2;13;2;14;2
"mturk:worker/A3LPHYONE222OY";0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;2;2;2;2;3;2;4;2;4;2;4;2;4;2;5;2;5;2;6;2;6;2;7;2;8;2;9;2;9;2
"mturk:worker/A2FLZP3C6U67JY";0;0;1;0;1;0;2;0;2;1;3;1;3;1;4;1;4;1;5;1;6;1;6;2;7;2;7;3;8;3;8;3;8;3;9;3;9;3;9;3;10;3;10;3;10;3;10;3;12;3
"mturk:worker/A16JMJHOUC2MGE";0;0;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;4;2;5;2;5
"mturk:worker/A2PWUACCQI97J8";0;0;0;0;0;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;2;0;2;0;2;0;2;0;2;0;3;0;3;0;3;0;3;0;3;0;3;0;4;1
"mturk:worker/A3HMDGRGC5JB7E";0;1;1;1;3;1;3;2;4;3;5;3;5;3;5;3;5;3;5;3;5;3;5;3;5;3;5;3;5;3;5;3;5;3;5;3;5;3;5;3;5;3;5;3;5;3;5;3;5;3
"mturk:worker/A3FY6THWKRYN9M";0;0;0;0;0;0;1;0;2;0;3;0;4;0;4;0;4;0;5;0;5;0;5;0;6;0;6;0;7;1;8;1;8;1;9;1;9;1;10;1;10;1;10;1;11;1;11;1;11;2
"mturk:worker/A2IQ0QCTQ3KWLT";0;0;0;0;0;0;0;0;1;0;2;0;3;0;3;0;3;0;4;0;4;0;5;0;5;1;5;1;6;1;6;4;6;4;7;6;7;6;8;6;8;6;9;6;9;6;9;6;9;6
"mturk:worker/A1761MS0XW2OHR";0;1;0;1;0;1;0;1;0;1;1;1;1;2;2;2;2;2;2;2;3;2;3;2;3;2;4;2;4;2;4;2;4;2;5;2;5;2;5;2;5;2;5;2;5;2;6;2;6;2
"mturk:worker/ALTMSSCYKZS8Z";0;2;0;3;0;4;0;4;0;4;0;4;1;7;1;7;2;8;2;9;2;9;3;9;3;9;4;9;4;10;4;10;5;11;5;12;5;12;6;15;6;16;6;16;6;16;7;16;7;16
"mturk:worker/A34DR0CVUBDL1N";0;1;0;1;0;1;0;1;0;1;1;1;1;1;1;1;2;2;2;2;3;2;3;2;3;2;3;2;4;4;5;4;6;5;7;5;8;5;8;5;8;5;8;5;8;5;9;5;9;5
"mturk:worker/A39XIQCFSCNHFU";0;0;0;0;1;1;1;1;2;1;2;1;2;1;3;1;3;2;3;2;4;2;4;2;4;2;4;2;5;3;5;3;5;3;6;4;6;4;6;4;7;5;7;5;7;5;8;6;9;6
"mturk:worker/A1BNR1ZAF1QGWG";0;0;1;0;2;0;3;1;3;2;5;3;5;4;6;5;7;6;8;7;8;7;9;8;10;9;11;9;11;9;11;9;11;9;11;9;11;9;11;9;11;9;11;9;11;9;11;10;12;10
"mturk:worker/A3OW5EFQ5QFD19";0;0;0;0;0;0;1;1;1;1;2;1;2;1;2;1;3;2;3;2;4;2;4;2;5;2;5;4;5;4;5;4;5;4;5;4;5;4;6;4;6;4;6;4;7;9;7;12;7;14
"mturk:worker/A3W6T1WDYXMR3";0;1;0;1;1;1;2;1;2;1;3;1;3;1;4;1;5;1;5;1;5;1;5;1;5;1;6;1;6;1;6;1;6;1;7;2;7;2;8;2;8;2;8;2;9;2;9;2;10;2
"mturk:worker/A6MWJK1YEY5L2";0;0;0;0;0;0;1;0;1;0;1;0;2;0;2;0;2;0;2;0;3;0;3;1;3;1;3;1;4;1;4;1;4;1;4;1;4;1;4;1;4;1;4;1;5;1;5;1;5;1
"mturk:worker/A26M997VYVK0E6";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;1;0;1;0;2;0;2;0;2;0;2;0;3;0;3;0;3;0;3;0;3;0;3;0;3;0;3;0;4;0
"mturk:worker/A3U6IA3JUSFZ2M";0;1;0;1;0;1;1;1;1;1;2;1;2;1;2;1;3;2;3;2;4;2;4;2;4;2;5;2;5;2;6;3;6;3;7;3;7;3;7;3;8;4;9;4;9;4;10;5;10;6